"English","Русский язык","Esperanto"
"She doesn't like rocket.","Ей не нравится руккола.","Ŝi ne ŝatas erukon"
"I'll have some potatoes.","Я буду картофель.","Mi prenos terpomojn"
"I will have the couscous salad.","Я буду салат с кускусом.","Mi prenos la kuskusan salaton"
"He will have some beans.","Он будет бобы.","Li havos iom da faboj"
"I prefer green beans.","Я предпочитаю зелёную фасоль.","Mi preferas verdajn fazeolojn"
"Try the saffron rice.","Попробуй рис с шафраном.","Gustumu la safranan rizon"
"He likes bean soup.","Ему нравится фасолевый суп.","Li ŝatas fazeolan supon"
"I like all the herbs except coriander.","Мне нравятся все травы, кроме кинзы.","Mi ŝatas ĉiujn herbojn krom koriandro"
"They don't like paprika sauce.","Им не нравится соус из паприки.","Ili ne ŝatas paprikan saŭcon"
"I think I'll have some peas.","Думаю, я буду горох.","Mi pensas, ke mi prenos iom da pizoj"
"I think I'll have some baked potatoes.","Думаю, я буду запечённый картофель.","Mi pensas, ke mi prenos bakitajn terpomojn"
"She will have the braised lentils and vegetables.","Она будет тушёную чечевицу и овощи.","Ŝi prenos la stufitajn lentojn kaj legomojn"
"She'd like some fried potatoes.","Она бы хотела картофель-фри.","Ŝi ŝatus fritojn"
"He would like some rice.","Он бы хотел рис.","Li volus iom da rizo"
"She prefers black pepper.","Она предпочитает чёрный перец.","Ŝi preferas nigran pipron"
"She prefers fish with parsley sauce.","Она предпочитает рыбу с соусом из петрушки.","Ŝi preferas fiŝon kun petrosela saŭco"
"I like cereals.","Мне нравятся злаки.","Mi ŝatas cerealiojn"
"Butter, please.","Сливочное масло, пожалуйста.","Buteron, mi petas"
"I'll have an omelette.","Я буду омлет.","Mi prenos omleton"
"I want some bacon.","Я хочу немного бекона.","Mi volas iom da bekono"
"Do you like honey?","Тебе нравится мёд?","Ĉu vi ŝatas mielon?"
"I like jelly.","Мне нравится желе.","Mi ŝatas ĝeleon"
"I like mozzarella.","Мне нравится моцарелла.","Mi ŝatas mocarelon"
"He likes waffles.","Ему нравятся вафли.","Li ŝatas vaflojn"
"I'll have some tea.","Я буду чай.","Mi trinkos teon"
"I prefer fried eggs.","Я предпочитаю яичницу.","Mi preferas frititajn ovojn"
"I'd like some sausages.","Я бы хотела сосиски.","Mi ŝatus kolbasojn"
"She would like some oat biscuits.","Она бы хотела овсяное печенье.","Ŝi ŝatus kelkajn avenajn biskvitojn"
"I like sorbet.","Мне нравится сорбет.","Mi ŝatas sorbeton"
"He likes crepes.","Ему нравятся блинчики.","Li ŝatas krespojn"
"She likes biscuits.","Ей нравится печенье.","Ŝi ŝatas biskvitojn"
"She likes doughnuts.","Ей нравятся пончики.","Ŝi ŝatas ringokukojn"
"Do you eat buns for breakfast?","Ты ешь сдобные булочки на завтрак?","Ĉu vi manĝas dolĉajn bulkojn por matenmanĝo?"
"White bread, please.","Белый хлеб, пожалуйста.","Blankan panon, mi petas"
"Brown bread, please.","Чёрный хлеб, пожалуйста.","Nigran panon, mi petas"
"Homemade bread, please.","Домашний хлеб, пожалуйста.","Hejmfaritan panon, bonvolu"
"I'd like the rice pudding.","Я бы хотела рисовый пудинг.","Mi ŝatus la rizopudinon"
"I'd like some pancakes with maple syrup.","Я бы хотел блины с кленовым сиропом.","Mi ŝatus pankukojn kun acera siropo"
"We'd like two cups of hot chocolate.","Мы хотим две чашки горячего шоколада.","Ni ŝatus du tasojn da varma ĉokolado"
"Do you eat croissants every day?","Ты ешь круассаны каждый день?","Ĉu vi manĝas kruasanojn ĉiutage?"
"She likes margarine too.","Ей тоже нравится маргарин.","Ŝi ankaŭ ŝatas margarinon"
"I want some cottage cheese.","Я хочу творог.","Mi volas iom da kazeo"
"I'll start with a salad.","Я начну с салата.","Mi komencos per salato"
"I'll have some coffee with milk.","Я буду кофе с молоком.","Mi prenos kafon kun lakto"
"She will have some decaf coffee.","Она будет кофе без кофеина.","Ŝi trinkos iom da senkafeina kafo"
"He will have some scrambled eggs.","Он будет яичницу-болтунью.","Li manĝos kirlovaĵon"
"Some yoghurt for my daughter, please.","Йогурт для моей дочери, пожалуйста.","Iom da jogurto por mia filino, mi petas"
"She prefers tea with artificial sweetener.","Она предпочитает чай с сахарозаменителем.","Ŝi preferas teon kun artefarita dolĉigilo"
"Open all day","Открыто весь день","Malfermita la tutan tagon"
"Sorry, we are closed.","Извините, мы закрыты.","Pardonu, ni estas fermitaj"
"It's sales time.","Сейчас время распродаж.","Nun estas rabatvendotempo"
"Where is the exit?","Где выход?","Kie estas la elirejo?"
"Open 24 hours a day","Открыто 24 часа в сутки","Malfermita 24 horojn ĉiutage"
"Are you open on Saturday?","Вы открыты в субботу?","Ĉu vi estas malfermitaj sabate?"
"When do you open?","Когда вы открываетесь?","Kiam vi malfermiĝas?"
"What time do you close?","Во сколько вы закрываетесь?","Je kioma horo vi fermiĝas?"
"What floor are the watches on?","На каком этаже наручные часы?","Sur kiu etaĝo troviĝas la brakhorloĝoj?"
"On the second floor.","На втором этаже.","Sur la dua etaĝo"
"The shops are closed after two p.m.","Магазины закрыты после двух часов дня.","La butikoj estas fermitaj post la dua horo posttagmeze"
"We're open from 9 a.m. to 5 p.m, Monday to Friday.","Мы открыты с 9 утра до 5 вечера, с понедельника по пятницу.","Ni estas malfermitaj de la 9-a ĝis la 17-a, de lundo ĝis vendredo"
"Is there a tax-free shop nearby?","Поблизости есть магазин беспошлинной торговли?","Ĉu estas senimposta butiko proksime?"
"Where is the nearest bookshop?","Где ближайший книжный магазин?","Kie estas la plej proksima librejo?"
"Where is the fabric department?","Где отдел тканей?","Kie estas la fako de ŝtofoj?"
"Where is the underwear department?","Где отдел нижнего белья?","Kie estas la sekcio de subvestoj?"
"Where is the cosmetics department?","Где находится отдел косметики?","Kie estas la kosmetika fako?"
"It's right there.","Он вон там.","Ĝi estas ĝuste tie"
"The checkout counter is over there.","Касса там.","La kaso estas tie"
"We're open from 10 a.m. to 8 p.m, seven days a week.","Мы открыты с 10 утра до 8 вечера, семь дней в неделю.","Ni estas malfermitaj de la 10-a matene ĝis la 8-a vespere, sep tagojn semajne"
"How late are you open on weekdays?","До которого часа вы открыты по будням?","Ĝis kioma horo vi estas malfermitaj labortage?"
"The shops are open till two o'clock.","Магазины открыты до двух часов.","La butikoj estas malfermitaj ĝis la dua"
"Is there a department store nearby?","Поблизости есть универмаг?","Ĉu estas universala magazeno proksime?"
"Have you got a women's clothing department?","У вас есть отдел женской одежды?","Ĉu vi havas sekcion de virinaj vestoj?"
"Where is the furniture department?","Где мебельный отдел?","Kie estas la mebla sekcio?"
"On which floor is the food department?","На каком этаже продовольственный отдел?","Sur kiu etaĝo estas la nutraĵa sekcio?"
"It's on the ground floor.","На первом этаже.","Ĝi estas sur la teretaĝo"
"Are there any salespeople who speak Lithuanian?","Здесь есть продавцы, которые говорят на литовском?","Ĉu ĉi tie estas vendistoj, kiuj parolas la litovan?"
"Do you know anywhere else I could try?","Вы знаете, где ещё я могла бы попробовать?","Ĉu vi scias, kie alie mi povus provi?"
"Shoplifters will be prosecuted","Воры будут привлечены к ответственности","Butikoŝtelistoj estos procesitaj"
"Can I try it on?","Я могу его примерить?","Ĉu mi povas ĝin surprovi?"
"What size is it?","Какой это размер?","Kia grandeco ĝi estas?"
"How does it look?","Как смотрится?","Kiel ĝi aspektas?"
"It suits you.","Это вам идёт.","Ĝi konvenas al vi"
"Do not iron","Не гладить","Ne gladu"
"Do not bleach","Не отбеливать","Ne blankigu"
"Where are the T-shirts?","Где футболки?","Kie estas la T-ĉemizoj?"
"What's your size?","Какой у вас размер?","Kia estas via grandeco?"
"I'm a size 8.","У меня 8 размер.","Mia grandeco estas 8"
"Where's the fitting room?","Где примерочная?","Kie estas la provĉambro?"
"Is that a good fit?","Хорошо подходит?","Ĉu tio bone taŭgas?"
"It doesn't fit me.","Это мне не подходит.","Ĝi ne konvenas al mi"
"It's too short.","Она слишком короткая.","Ĝi estas tro mallonga"
"What are these made of?","Из чего они сделаны?","El kio ĉi tiuj estas faritaj?"
"Is it pure cotton?","Это чистый хлопок?","Ĉu ĝi estas pura kotono?"
"Which one is better?","Какая из них лучше?","Kiu el ili estas pli bona?"
"Which one is cheaper?","Какой из них дешевле?","Kiu el ili estas pli malmultekosta?"
"She doesn't like them.","Они ей не нравятся.","Ŝi ne ŝatas ilin"
